,Accident_Index,Latitude,Longitude,Region,Urban_or_Rural_Area,X1st_Road_Class,Driver_IMD_Decile,Speed_limit,Road_Type,Road_Surface_Conditions,Weather,High_Wind,Lights,Datetime,Year,Season,Month_of_Year,Day_of_Month,Day_of_Week,Hour_of_Day,Number_of_Vehicles,Age_of_Driver,Age_of_Vehicle,Junction_Detail,Junction_Location,X1st_Point_of_Impact,Driver_Journey_Purpose,Engine_CC,Propulsion_Code,Vehicle_Make,Vehicle_Category,Vehicle_Manoeuvre,Accident_Severity,Hour_of_Day_dn,IsMajor,WeekDay_type,isMotorcycle
0,2010160D03571,53.768288,-0.29189699999999996,Yorkshire and the Humber,Urban,Unclassified,5,30,Single carriageway,Dry,Fine,No,Daylight,2010-07-28 08:05:00,2010,2,7,28,3,0.337,2,4,2,T or staggered junction,Entering main road,Front,Commuting to/from work,1598,Petrol,Mini,Car,Turning right,Slight,8.0,0,1,0
1,201101KG70148,51.541596999999996,0.165392,London,Urban,A,3,30,Single carriageway,Dry,Fine,No,Darkness - lights,2011-04-26 22:53:00,2011,1,4,26,2,0.953,2,1,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Other/Not known,124,Petrol,Other,Motorcycle,Overtaking,Slight,23.0,0,1,1
2,201101FH10358,51.505776000000004,-0.22941599999999998,London,Urban,Unclassified,4,30,Single carriageway,Dry,Fine,No,Daylight,2011-08-06 17:19:00,2011,2,8,6,6,0.722,2,4,8,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1796,Petrol,Mercedes,Car,Turning right,Slight,17.0,0,0,0
3,201045RE47983,51.267635,-0.135945,South East England,Rural,Unclassified,9,30,Single carriageway,Frost or ice,Fine,No,Darkness - no lights,2010-01-17 23:54:00,2010,4,1,17,7,0.996,1,3,14,T or staggered junction,Cleared junction or waiting/parked at junction exit,Front,Other/Not known,1994,Heavy oil,Rover,Car,Going ahead,Fatal_Serious,0.0,1,0,0
4,201306N071555,53.54590699999999,-2.310555,North West England,Urban,A,1,30,Single carriageway,Wet or damp,Snowing,Yes,Darkness - lights,2013-03-22 19:14:00,2013,1,3,22,5,0.801,2,2,1,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1339,Petrol,Honda,Car,Going ahead,Slight,19.0,0,1,0
5,2011370304711,52.314801,0.86485,East England,Rural,C,6,60,Single carriageway,Dry,Fine,No,Daylight,2011-08-01 12:17:00,2011,2,8,1,1,0.512,2,3,7,Crossroads,Cleared junction or waiting/parked at junction exit,Front,Journey as part of work,2148,Heavy oil,Mercedes,Van,Turning right,Slight,12.0,0,1,0
6,2012552D11129,50.878824,-1.865361,South West England,Urban,B,10,30,Single carriageway,Dry,Fine,No,Daylight,2012-03-18 09:40:00,2012,4,3,18,7,0.403,2,5,2,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1997,Heavy oil,Ford,Car,Turning right,Fatal_Serious,10.0,1,0,0
7,201104CA11004,53.635889,-2.615343,North West England,Rural,A,8,40,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2011-01-12 17:40:00,2011,4,1,12,3,0.736,1,1,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Did not impact,Commuting to/from work,49,Petrol,Other,Motorcycle,Going ahead,Fatal_Serious,18.0,1,1,1
8,201011SB30230,54.72814399999999,-1.6889439999999998,North East England,Rural,Unclassified,4,30,Single carriageway,Snow,Fine,No,Daylight,2010-11-27 15:50:00,2010,3,11,27,6,0.66,2,4,10,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1753,Heavy oil,Ford,Car,Going ahead,Slight,16.0,0,0,0
9,201022D004091,52.318166,-1.966372,Wast Midlands,Rural,Unclassified,9,60,Single carriageway,Dry,Fine,No,Daylight,2010-08-17 17:20:00,2010,2,8,17,2,0.722,2,3,2,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,2500,Heavy oil,Ford,Van,Going ahead,Slight,17.0,0,1,0
10,2011471105647,51.00308,-0.339077,South East England,Rural,A,6,60,Dual carriageway,Wet or damp,Raining,No,Daylight,2011-09-06 14:13:00,2011,2,9,6,2,0.592,1,6,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Did not impact,Other/Not known,1360,Petrol,Citroen,Car,Going ahead,Slight,14.0,0,1,0
11,201401MM70507,51.443425,-0.067924,London,Urban,A,5,30,Single carriageway,Dry,Fine,No,Daylight,2014-05-15 17:08:00,2014,1,5,15,4,0.714,2,3,6,T or staggered junction,Mid Junction - on roundabout or on main road,Offside,Other/Not known,2969,Heavy oil,Audi,Car,Turning right,Fatal_Serious,17.0,1,1,0
12,2014170L11374,54.53102,-1.095809,North East England,Rural,C,1,40,Single carriageway,Dry,Fine,No,Daylight,2014-08-29 17:03:00,2014,2,8,29,5,0.71,2,5,4,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,1198,Petrol,Skoda,Car,Going ahead,Fatal_Serious,17.0,1,1,0
13,20134100B0447,51.795008,-0.202157,East England,Urban,A,8,30,Single carriageway,Dry,Fine,No,Daylight,2013-08-19 18:40:00,2013,2,8,19,1,0.778,2,4,6,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1995,Heavy oil,BMW,Car,Turning right,Slight,19.0,0,1,0
14,2011070161573,53.224931000000005,-2.894502,North West England,Urban,A,10,60,Roundabout,Wet or damp,Raining,No,Daylight,2011-06-12 15:19:00,2011,1,6,12,7,0.638,1,1,8,Roundabout,Mid Junction - on roundabout or on main road,Nearside,Other/Not known,1149,Petrol,Renault,Car,Going ahead,Slight,15.0,0,0,0
15,201132L274411,53.264825,-0.539343,East Midlands,Rural,A,6,60,Single carriageway,Dry,Fine,No,Darkness - no lights,2011-09-20 22:16:00,2011,2,9,20,2,0.928,3,5,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1343,Petrol,Kia,Car,Going ahead,Fatal_Serious,22.0,1,1,0
16,2012212001181,53.060039,-2.239605,Wast Midlands,Rural,A,10,70,Dual carriageway,Dry,Fine,No,Daylight,2012-02-27 12:45:00,2012,4,2,27,1,0.531,2,4,3,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Other/Not known,2184,Heavy oil,Mazda,Car,Slowing or stopping,Slight,13.0,0,1,0
17,201101XD80435,51.528118,-0.286649,London,Urban,A,6,40,Dual carriageway,Dry,Fine,No,Daylight,2011-05-12 07:40:00,2011,1,5,12,4,0.319,2,4,1,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Journey as part of work,124,Petrol,Other,Motorcycle,Waiting to go,Fatal_Serious,8.0,1,1,1
18,201150JN2O013,50.53665,-3.647526,South West England,Rural,A,3,60,Single carriageway,Wet or damp,Fine,No,Daylight,2011-09-18 07:53:00,2011,2,9,18,7,0.328,1,1,9,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Commuting to/from work,1124,Petrol,Peugeot,Car,Going ahead,Slight,8.0,0,0,0
19,2012130398380,53.81023100000001,-1.757437,Yorkshire and the Humber,Urban,A,2,40,Single carriageway,Dry,Fine,No,Darkness - lighting unknown,2012-09-13 19:30:00,2012,2,9,13,4,0.812,3,3,9,Crossroads,Mid Junction - on roundabout or on main road,Front,Other/Not known,1994,Petrol,Other,Car,Going ahead,Slight,19.0,0,1,0
20,201404SC14085,53.705652,-2.632086,North West England,Urban,Motorway,5,70,Dual carriageway,Wet or damp,Raining,No,Darkness - no lights,2014-12-16 20:19:00,2014,3,12,16,2,0.847,1,6,12,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1587,Petrol,Citroen,Car,Going ahead,Slight,20.0,0,1,0
21,201001QK50484,51.570954,-0.294996,London,Urban,C,6,30,Single carriageway,Dry,Fine,No,Daylight,2010-08-13 07:50:00,2010,2,8,13,5,0.326,2,4,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Commuting to/from work,1870,Heavy oil,Other,Car,Waiting to go,Slight,8.0,0,1,0
22,2014404DA0753,51.944520000000004,-0.516309,East England,Rural,B,2,60,Single carriageway,Dry,Fine,No,Daylight,2014-08-23 06:36:00,2014,2,8,23,6,0.275,2,3,6,Private drive or entrance,Mid Junction - on roundabout or on main road,Back,Journey as part of work,1910,Heavy oil,Vauxhall,Car,Turning right,Slight,7.0,0,0,0
